variable,grupo,n_sin_ponderar,tasa,li_95,ls_95
sexo_grupo,Hombre,1949,0.46720226109943247,0.4392384457577956,0.49516607644106936
sexo_grupo,Mujer,2291,0.3739255673721965,0.3474470889555093,0.4004040457888837
edad_grupo,12-17,428,0.5472058853687152,0.4863286304549951,0.6080831402824353
edad_grupo,18-29,832,0.4223696814821056,0.3820781425417362,0.46266122042247493
edad_grupo,30-44,1051,0.4280732200319324,0.3887560776987689,0.46739036236509585
edad_grupo,45-59,984,0.36930960151235026,0.3314486128666021,0.4071705901580984
edad_grupo,60+,940,0.3758250684634074,0.3342264518885963,0.41742368503821853
educacion,Hasta primaria,1027,0.3151265061378173,0.2788841401701175,0.3513688721055171
educacion,Secundaria/técnica,1256,0.39871746090862886,0.3645638559642018,0.4328710658530559
educacion,Media superior,940,0.41433476921061463,0.3748095987993154,0.45385993962191384
educacion,Superior,1003,0.5616365053560325,0.5202298851280855,0.6030431255839794
